"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Pull Up",,"High Pulls",0,"normal",,3,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Pull Up",,"High Pulls",1,"normal",,3,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Pull Up",,"High Pulls",2,"normal",,3,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Pull Up (Weighted)",0,"",0,"normal",10,7,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Pull Up (Weighted)",0,"",1,"normal",12.5,6,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Pull Up (Weighted)",0,"",2,"normal",12.5,5,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Push Press",0,"",0,"normal",49,3,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Push Press",0,"",1,"normal",54,3,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Push Press",0,"",2,"normal",54,2,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Push Press",0,"",3,"normal",49,3,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Seated Cable Row - V Grip (Cable)",1,"",0,"normal",65,13,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Seated Cable Row - V Grip (Cable)",1,"",1,"normal",75,13,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Chest Dip",1,"",0,"normal",,14,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Chest Dip",1,"",1,"normal",,12,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Lateral Raise (Machine)",,"",0,"normal",35,10,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Lateral Raise (Machine)",,"",1,"normal",35,14,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Butterfly (Pec Deck)",,"",0,"normal",55,17,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Butterfly (Pec Deck)",,"",1,"normal",65,12,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Face Pull",,"",0,"normal",70,15,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Face Pull",,"",1,"normal",75,15,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Wrist Roller",,"",0,"normal",20,10,,,
"Upper 2 (Sunday AM)","28 Jun 2026, 12:02","28 Jun 2026, 12:52","","Seated Wrist Extension (Barbell)",,"",0,"normal",35,11,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Jump Squat",,"",0,"normal",,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Jump Squat",,"",1,"normal",,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Jump Squat",,"",2,"normal",,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Zercher Squat",,"",0,"normal",60,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Zercher Squat",,"",1,"normal",60,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Single Leg Romanian Deadlift (Dumbbell)",,"",0,"normal",60,6,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Single Leg Romanian Deadlift (Dumbbell)",,"",1,"normal",60,6,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Bulgarian Split Squat",0,"",0,"normal",30,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Bulgarian Split Squat",0,"",1,"normal",30,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Sissy Squat (Weighted)",1,"",0,"normal",80,9,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Sissy Squat (Weighted)",1,"",1,"normal",80,9,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Seated Leg Curl (Machine)",1,"",0,"normal",50,10,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Seated Leg Curl (Machine)",1,"",1,"normal",50,12,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Seated Calf Raise",0,"",0,"normal",10,22,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Seated Calf Raise",0,"",1,"normal",25,17,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Seated Calf Raise",0,"",2,"normal",25,17,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Tibialis Raise",,"",0,"normal",5,20,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Tibialis Raise",,"",1,"normal",5,15,,,
"Friday AM (Legs)","26 Jun 2026, 07:17","26 Jun 2026, 08:05","","Tibialis Raise",,"",2,"normal",5,15,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Pull Up",,"",0,"normal",,13,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Pull Up",,"",1,"normal",,8,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Bent Over Row (Barbell)",,"",0,"normal",70,12,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Bent Over Row (Barbell)",,"",1,"normal",80,8,,,
